strategy_type,allow_shorting,momentum_window,CAGR,Annualized Sharpe Ratio,Annualized Sortino Ratio,Max Drawdown,Calmar Ratio,Cumulative Return,Annualized Volatility,Total Trades,mean_reversion_window,mean_reversion_entry_z,mean_reversion_exit_z,sma_short_window,sma_long_window
momentum,False,60.0000,0.1165,0.8093,1.0309,-0.2398,0.4858,0.7342,0.1208,18.0000,,,,,
mean_reversion,False,,0.0615,0.5874,0.9326,-0.0614,1.0006,0.3471,0.0722,51.0000,20.0000,1.5000,0.5000,,
mean_reversion,False,,0.0615,0.5874,0.9326,-0.0614,1.0006,0.3471,0.0722,51.0000,20.0000,1.5000,0.0000,,
momentum,False,20.0000,0.0846,0.5666,0.7165,-0.2058,0.4113,0.5007,0.1215,50.0000,,,,,
mean_reversion,False,,0.0576,0.5425,0.8394,-0.0644,0.8949,0.3232,0.0714,26.0000,40.0000,1.5000,0.0000,,
mean_reversion,False,,0.0576,0.5425,0.8394,-0.0644,0.8949,0.3232,0.0714,26.0000,40.0000,1.5000,0.5000,,
mean_reversion,True,,0.0689,0.5320,0.8085,-0.0753,0.9146,0.3951,0.0967,101.0000,40.0000,1.5000,0.0000,,
mean_reversion,True,,0.0689,0.5320,0.8085,-0.0753,0.9146,0.3951,0.0967,101.0000,40.0000,1.5000,0.5000,,
momentum,False,40.0000,0.0759,0.4983,0.6212,-0.2531,0.2997,0.4410,0.1220,39.0000,,,,,
mean_reversion,False,,0.0604,0.4958,0.7392,-0.0937,0.6452,0.3408,0.0857,41.5000,40.0000,1.0000,0.5000,,
mean_reversion,False,,0.0604,0.4958,0.7392,-0.0937,0.6452,0.3408,0.0857,41.5000,40.0000,1.0000,0.0000,,
mean_reversion,False,,0.0614,0.4833,0.7034,-0.1021,0.6008,0.3465,0.0906,56.5000,20.0000,1.0000,0.5000,,
mean_reversion,False,,0.0614,0.4833,0.7034,-0.1021,0.6008,0.3465,0.0906,56.5000,20.0000,1.0000,0.0000,,
momentum,True,60.0000,0.0809,0.4415,0.5901,-0.3380,0.2394,0.4752,0.1607,35.5000,,,,,
mean_reversion,True,,0.0492,0.3430,0.5244,-0.1093,0.4506,0.2714,0.0954,136.0000,20.0000,1.5000,0.0000,,
mean_reversion,True,,0.0492,0.3430,0.5244,-0.1093,0.4506,0.2714,0.0954,136.0000,20.0000,1.5000,0.5000,,
sma_crossover,True,,0.0266,0.1925,0.6096,-0.0205,1.2943,0.1401,0.0360,23.0000,,,,15.0000,50.0000
mean_reversion,True,,0.0212,0.0701,0.0992,-0.1363,0.1555,0.1105,0.1239,156.5000,20.0000,1.0000,0.0000,,
mean_reversion,True,,0.0212,0.0701,0.0992,-0.1363,0.1555,0.1105,0.1239,156.5000,20.0000,1.0000,0.5000,,
